categoria,URL,titulo,texto
deportes,https://noticiasargentinas.com//deportes/german-cano-el-verdugo-de-boca-se-mostro-feliz-por-la-obtencion-de-la-libertadores-todavia-no-caigo," Germán Cano, el verdugo de Boca, se mostró feliz por ganar la Libertadores: “Todavía no caigo” ","El delantero argentino del Fluminense Germán Cano se mostró feliz tras conquistar la primera Copa Libertadores del “Flu” el sábado por 2-1 en la final ante Boca en el estadio Maracaná de Rio de Janeiro.El oriundo de Lomas de Zamora mostró su felicidad por el titulo obtenido con el club carioca y expresó que todavía no se percató del hecho histórico que consumaron el pasado sábado: ""es muy lindo, algo histórico porque Fluminense no tenía esa Copa. Estamos muy felices, todavía no caigo. Más adelante voy a entender un poco mejor todo lo que me está sucediendo. El teléfono explotado de mensajes de amigos, gente conocida, las redes sociales también"".""Lo que se vivió dentro de la cancha fue especial, va a quedar marcado para siempre. Todo lo que vivimos con mi familia, el esfuerzo que se hizo durante muchísimo tiempo. No fue nada fácil llegar hasta donde Fluminense llegó, ser el campeón de América. Estamos muy felices, disfrutando de este presente que nos toca vivir. Son todas palabras de agradecimiento, felicidad y de vivirlo, que no sabemos cuándo va a volver a pasar"" agregó el atacante argentino.Sobre Boca y lo que significa el club “xeneize” en la Copa Libertadores de América, Germán Cano opinó: ""Sabíamos lo que era jugar contra equipos argentinos, nos tocó en fase de grupos contra River y contra Argentinos en octavos y poder llegar a la final contra Boca y poder ganarle es algo histórico. Sabíamos que Boca nos iba a esperar un poco atrás y salir de contra, también muchos centros desde los costados. Son fuertes en la bola parada. El partido salió como esperábamos. Felicito a todo Boca porque hicieron un gran partido, dejaron todo, fue una final con muchísimos condimentos y estamos muy felices"".""Nosotros siempre tenemos una misma idea de juego, independientemente del resultado. Queremos generar situaciones de gol sin desesperarnos, y eso es bueno porque tenemos una idea clara de lo que pide el técnico. Cuando íbamos 1-1, en ningún momento nos desesperamos ni hicimos nada no habitual, nos preparamos para eso"" añadió el ex jugador de Lanús.LEE: Jorge Almirón se refirió a su salida de Boca: ""Una decisión muy dolorosa""Además, el delantero aseguró que al equipo lo ayudó la infantil expulsión del colombiano Frank Fabra en Boca: ""nos ayudó, ellos nos podían hacer un poco más de daño. No sabemos cómo hubieran sido los últimos minutos con unos menos, nosotros hemos ganado partidos jugando con diez, con Flamengo también aguantamos con diez. En los entrenamientos también muchas veces jugamos con uno menos, son trabajos que dentro de la cancha uno piensa. Salimos jugando de abajo también porque lo vemos en la semana"".A sus 35 años, Germán Cano se encuentra en el punto máximo de su carrera luego de varios años dando vueltas por Lanús, Chacarita Juniors, Colón de Santa Fe y equipos de Colombia, Paraguay y México donde no terminaba de asentarse hasta su llegada al Vasco da Gama en 2020 donde anotó 43 goles en 101 partidos. Esa marca en el club carioca hizo que el Fluminense decida quedarse con sus servicios y lo convierta en un ídolo del “Tricolor” con 81 goles en 125 juegos.En este 2023, el atacante nacido en Lomas de Zamora escribió su nombre en los libros de historia porque, además de conseguir la Copa Libertadores de América el pasado sábado en el estadio Maracaná, se consagró como el máximo goleador de esta edición del certamen continental con 13 goles en 12 encuentros y uno en la final ante Boca.Sobre este increíble momento que vive, Germán Cano declaró: ""Ser el goleador de la competición es un orgullo muy grande, un placer. Mucha dedicación, trabajo, dejé muchas cosas de lado para llegar a la final, eso representa muchísimo. Yo no puedo elegir si tengo que estar en la Selección Argentina o no, no me corresponde a mí. Sí tengo que hacer lo mejor para mi equipo, como lo hice en la Libertadores, 13 goles en 12 partidos, levantar la Copa, eso sí lo puedo hacer, lo otro sale de mis manos"".Por último, el goleador del Fluminense catalogó como “el sueño próximo” un posible cruce contra el Manchester City en el Mundial de Clubes: ""Claro que me le animo al Manchester City, es el sueño próximo: Cano vs. Haaland. A nosotros nos gusta jugar y a ellos también, va a ser lindo, pero primero va a haber que ganarle al equipo de Benzema. Va a ser lindo, es un sueño""."
deportes,https://noticiasargentinas.com//deportes/jorge-almiron-rompio-el-silencio-tras-su-salida-de-boca-una-decision-muy-dolorosa," Jorge Almirón se refirió a su salida de Boca: ""Una decisión muy dolorosa"" ","El entrenador Jorge Almirón se expresó, en redes sociales, tras su renuncia al puesto de director técnico de Boca Juniors el domingo al llegar de Rio de Janeiro donde perdió 2-1 la final de la Copa Libertadores ante Fluminense en el estadio Maracaná.Tras la dimisión, que se dió en la noche del domingo al llegar a Buenos Aires, el ya ex entrenador del ""Xeneize"" hizo un posteo en redes sociales: ""Me voy con la tristeza de no haberles podido cumplir el sueño de la Séptima, pero con la tranquilidad de haberlo dado todo y de haber puesto a Boca nuevamente en una final de Copa Libertadores"".En su comunicado, Jorge Almirón tuvo un gesto de gratitud con Juan Román Riquelme por la confianza depositada. En cuanto al reemplazo del ex director técnico de Independiente, el vicepresidente boquense no nombrará al sucesor en medio de la campaña electoral para la presidencia de Boca dejando la decisión para la dirigencia que gane en las urnas.LEE: Cómo le fue a Herrón en la Primera de Boca y cuáles serán los objetivos hasta fin de año     Ver esta publicación en Instagram            Una publicación compartida por Jorge Almirón (@jorgealmironoficial)""Agradezco a Román por la confianza depositada, al Consejo y a todos los que en el día a día nos acompañaron y trabajaron con nosotros. Y en especial a los jugadores, en estos siete meses jugamos un promedio de un partido cada cuatro días, y el esfuerzo, la entrega, el compromiso y la predisposición para con este proceso me llena de orgullo y satisfacción. Nos tocó asumir en un contexto muy adverso, con jugadores cuestionados e insultados. Haber contribuido a que hoy esos mismos jugadores sean respetados, aplaudidos y hasta ovacionados es una de las satisfacciones más grandes. Ellos se merecen todo el cariño que la gente les demuestra"" agregó el oriundo de San Miguel.Además, el ex entrenador de Lanús se mostró dolido por la decisión que tuvo que tomar: ""uno no se quiere ir nunca de un club como Boca, es una decisión muy dolorosa pero estoy convencido que era lo que el momento ameritaba. Me llevo para siempre en mi corazón el cariño diario que me brinda el hincha de Boca, ha sido para mí un orgullo dirigir a uno de los clubes más grandes del mundo"".""Y por último, será imborrable la histórica movilización a Río y todos los momentos lindos que vivimos juntos. Sepan que estaré deseándoles siempre lo mejor. Gracias, fuerza y vamos Boca!"" concluyó Jorge Almirón en su comunicado."
deportes,https://noticiasargentinas.com//deportes/como-le-fue-a-herron-en-la-primera-de-boca-y-cuales-seran-los-objetivos-del-equipo-hasta-fin-de-ano, Cómo le fue a Herrón en la Primera de Boca y cuáles serán los objetivos hasta fin de año ,"Mariano Herrón, entrenador de la Reserva de Boca, reemplazará de forma interina a Jorge Almirón, quien presentó su renuncia tras perder la final de la Copa Libertadores, por lo que tendrá una nueva experiencia a cargo del plantel profesional y varios objetivos por delante hasta fin de año.Herrón ya ocupó el puesto ante la partida de Hugo Ibarra a comienzo de 2023, por lo que dirigió tres partidos con una victoria, un empate y una derrota: Boca le ganó 3 a 0 a Barracas Central, empató sin goles con Monagas de Venezuela en el inicio de la Copa Libertadores y perdió por 3 a 2 con Colón de Santa Fe en la Bombonera.LEÉ: Siete atletas de Cuba se escaparon de la delegación en los Juegos PanamericanosEl ex mediocampista tendrá muy rápido el primer desafío, dado que el ""Xeneize"" se medirá este miércoles con San Lorenzo en el estadio Pedro Bidegain desde las 19 en un partido sin margen de error si quiere seguir con chances de meterse en los playoffs de la Copa de la Liga.Luego, por el mismo certamen, tendrá al menos dos encuentros más ante Newell´s y Godoy Cruz, respectivamente, hasta el cierre de la primera etapa de la competencia. Si avanza a cuartos, serán más partidos para Herrón en el banco de suplentes.LEÉ: Argentina redondeó 75 medallas en los Juegos Panamericanos, pero hay que trabajar más allá de los éxitosAdemás, Boca chocará con Estudiantes de La Plata por las semifinales de la Copa Argentina, en un duelo que se llevaría a cabo el fin de semana del 17 al 19 de noviembre durante la próxima fecha FIFA.En caso de acceder a la final, el técnico interino hasta tendrá la chance de levantar un trofeo: su equipo se enfrentaría con el vencedor del cruce entre el ""Ciclón"" y Defensa y Justicia en busca del título, lo que podría hacer que Herrón se despida a lo grande y vuelva a Reserva o incluso que le den la oportunidad de encabezar el proyecto futbolístico a partir de 2024."
deportes,https://noticiasargentinas.com//deportes/argentina-redondeo-75-medallas-en-los-juegos-panamericanos-pero-hay-que-trabajar-mas-alla-de-los-exitos," Argentina redondeó 75 medallas en los Juegos Panamericanos, pero hay que trabajar más allá de los éxitos ","No hay magia. La tradición de los deportes de equipo terminó dando grandes alegrías a la delegación argentina en los Juegos Panamericanos Santiago 2023, redondeando una buena actuación a la hora de sumar podios.Por un lado, los dos equipos de hockey sobre césped ratificaron su favoritismo y se quedaron con la medalla dorada y el único cupo olímpico a los Juegos Olímpicos París 2024.LEÉ: Siete atletas de Cuba se escaparon de la delegación en los Juegos PanamericanosMientras tanto, el handball, en Viña del Mar, tuvo su final masculina y Argentina, sin su figura Diego Simonet en gran parte del encuentro, derrotó con autoridad a Brasil, quien partía como favorito según los especialistas, y también se quedó con el pase olímpico.Belén Casetta se transformó en la primera atleta, hombre o mujer, en ganar medalla dorada panamericana en prueba de pista.En esa misma jornada, por primera vez desde 1963, el waterpolo se metió en el podio panamericano. Los Yacarés vencieron 12 a 10 a Canadá en la final por bronce, para la primera presea en 60 años, casualmente luego de una racha de cuatro podios consecutivos desde 1951, primera edición de los Juegos.Todo esto se dio en el último sábado de Santiago 2023, que incluyó nueve doradas para la armada albiceleste, lo que decoró verdaderamente el medallero general, al punto de superar a cuatro Comités Olímpicos Nacionales en una jornada, incluido el local Chile.En los Juegos Panamericanos más competitivos de la historia, Argentina también sumó dos plazas olímpicas en tiro, otra en pentatlón moderno, dos en tenis, tres en vela (y ya son seis boletos asegurados en cinco clases), una en equitación, además de las ya mencionadas del handball y del hockey sobre césped, que también estarán en la élite del deporte mundial en al capital francesa desde el 26 de julio de 2024.LEÉ: Boca, otra vez en busca de entrenador: los candidatos que podrían reemplazar a Jorge AlmirónArgentina terminó en el séptimo lugar del medallero con 17 doradas, 25 plateadas y 33 de bronce para totalizar 75 podios. Esta posición lo hace retroceder dos casilleros desde lo hecho en Lima 2019 cuando se superó a Cuba (hoy con 30 doradas, pero “apenas” 69 en total) y a Colombia (29 y 101) que, esta vez, lograron hacer diferencia en deportes individuales.Mientras los primeros se lucieron en lucha (8 oros) y atletismo (7), los cafeteros lo hicieron en ciclismo (6 títulos) y levantamiento de pesas (3), deportes que combinan muchas pruebas y en los que Argentina está un paso atrás.Sin embargo, la cosecha argentina no deja de ser interesante teniendo en cuenta el recambio por el que transita el deporte argentino. En definitiva, el objetivo final debería ser que, gracias a las actuaciones de los (nuevos) referentes, más jóvenes se acerquen al deporte, tal como pasó, por ejemplo, con el judo (sin podios en Lima, uno en Santiago) entre las mujeres, gracias a la fantástica carrera que transitó Paula Pareto en más de 15 años de trayectoria internacional.El exitismo (lógico en cualquier rincón del mundo) hará que las medallas ayuden para ese contagio. Ojalá esos cuartos y quintos puestos que se sufrieron en Santiago 2023, también."
deportes,https://noticiasargentinas.com//deportes/siete-atletas-de-cuba-se-escaparon-de-la-delegacion-en-los-juegos-panamericanos, Siete atletas de Cuba se escaparon de la delegación en los Juegos Panamericanos ,"Siete atletas cubanos se escaparon de su delegación durante el fin de semana de cierre de los Juegos Panamericanos 2023, que se disputaron en la ciudad chilena de Santiago.Según afirmaron medios locales, se trata de seis integrantes de la selección femenina de hockey sobre césped, quienes no regresaron luego del partido que disputaron ante Uruguay, que fue derrota por 3 a 0.LEÉ: ""Ganen o ya saben"": amenazaron al presidente de Colón antes del partido con BanfieldLas involucradas serían Jennifer Martínez, Yakira Guillén, Lismary González, Helec Carta, Geidy Morales y la capitana del equipo, Yunia Milanes.Además, la lista la completaría un velocista, Yoao Illas, quien obtuvo la medalla de bronce en la prueba de 400 metros con vallas pero luego se fugó de la concentración.LEÉ: Boca, otra vez en busca de entrenador: los candidatos que podrían reemplazar a Jorge AlmirónEn lo que va de 2023, más de 60 deportistas de Cuba abandonaron sus delegaciones durante competencias realizadas en otros países.La ubicación de Cuba en el medallero de los Juegos Panamericanos fue en el quinto puesto con 30 preseas de oro, 22 de plata y 17 de bronce."
deportes,https://noticiasargentinas.com//deportes/boca-otra-vez-en-busca-de-entrenador-los-candidatos-que-podrian-reemplazar-a-jorge-almiron," Boca, otra vez en busca de entrenador: los candidatos que podrían reemplazar a Jorge Almirón ","Boca se volvió a quedar sin entrenador luego de la renuncia de Jorge Almirón tras perder la final de la Copa Libertadores ante Fluminense, por lo que el club nuevamente se encuentra en la búsqueda de director técnico con el vicepresidente Juan Román Riquelme a la cabeza.Almirón esperó a arribar a Buenos Aires para comunicarle su decisión a Riquelme cara a cara y, si bien la intención de algunos integrantes del Consejo de Fútbol era convencerlo de seguir hasta diciembre, le aceptaron la renuncia y el ciclo llegó a su fin.LEÉ: ""Ganen o ya saben"": amenazaron al presidente de Colón antes del partido con BanfieldAnte esto, rápidamente la dirigencia de Boca tuvo que resolver quién se haría cargo del plantel profesional en lo inmediato, dado que este miércoles se medirá con San Lorenzo en el estadio Pedro Bidegain desde las 19 por la duodécima fecha de la Zona B de la Copa de la Liga, donde el ""Xeneize"" no tiene margen de error.El elegido fue Mariano Herrón, entrenador de la Reserva, que ya fue interino a principio de año después de la salida de Hugo Ibarra: dirigió tres partidos con una victoria, un empate y una derrota.LEÉ: Argentina cerró su participación en los Juegos Panamericanos con 75 medallasHerrón podría quedarse hasta fin de año si lo acompañan los resultados y no aceleran la búsqueda del técnico que comandaría el proyecto futbolístico desde 2024. Por el momento, los nombres que sonaron son los de tres viejos conocidos y el de un ex compañero de Riquelme, que igualmente tendría el deseo de continuar su carrera en Europa.Se trata de Gabriel Milito, sin club luego de su sorpresiva partida de Argentinos Juniors, mientras que otras opciones son Fernando Gago, de último paso por Racing, Guillermo Barros Schelotto, ex DT de la Selección de Paraguay, y Martín Palermo, que tiene contrato hasta diciembre en Platense y aún no resolvió si renovará el vínculo."
deportes,https://noticiasargentinas.com//deportes/ganen-o-ya-saben-amenazaron-al-presidente-de-colon-antes-del-partido-con-banfield," ""Ganen o ya saben"": amenazaron al presidente de Colón antes del partido con Banfield ","El presidente de Colón de Santa Fe, José Vignatti, recibió mensajes de amenazas en su vivienda en la antesala del partido que jugará el equipo esta noche ante Banfield, en plena pelea por la permanencia en la Primera División.""Ganen o ya saben"", rezaba una de las banderas que fue colocada en la madrugada de este lunes en la reja de la casa del dirigente, mientras que en las dos restantes se leía ""el club es de los socios"" y ""Colón no es tu empresa"".LEÉ: Jorge Almirón renunció como entrenador de Boca: ¿Quién lo reemplazará?El ""Sabalero"" visitará a Banfield en el estadio Florencio Sola desde las 21 por la duodécima fecha de la Zona A de la Copa de la Liga, donde el equipo dirigido por Israel Damonte se ubica sexto con 17 puntos y, de ganar, se meterá en puestos de clasificación a la fase final del certamen.Las banderas para amedrentar al presidente de Colón de Santa Fe.No obstante, la crisis del elenco santafesino radica en que, de terminar ahora la temporada, debería jugar un encuentro desempate con Sarmiento de Junín para definir cuál será el segundo conjunto que perderá la categoría junto a Arsenal de Sarandí."
deportes,https://noticiasargentinas.com//deportes/la-cargada-viral-de-un-hincha-de-river-a-varios-de-boca-con-un-parlante-desde-su-balcon, La cargada viral de un hincha de River a varios de Boca con un parlante desde su balcón ,"Luego de la derrota de Boca en la final de la Copa Libertadores ante Fluminense, se multiplicaron los videos virales con burlas y cargadas de hinchas de otros equipos, y en las últimas horas apareció uno en el que un hincha ""millonario"" decidió sacar a su balcón un parlante y reproducir una canción que enfureció a los ""xeneizes"" que estaban en la calle concentrados.A través del bafle se escuchó una canción, al ritmo de ""Lo que quiere la Chola"" de Los Palmeras, que hace referencia al triunfo del entonces equipo de Marcelo Gallardo en la final de la Libertadores 2018 ante el eterno rival. Según se observa en el video, los hinchas de Boca que se encontraban en la vía pública, una vez concluida la final en el Maracaná, explotaron de bronca e intentaron ir a buscarlo para increparlo. "
deportes,https://noticiasargentinas.com//deportes/como-ver-en-vivo-godoy-cruz-vs-platense-futbol-libre-por-celular, Cómo ver en vivo Godoy Cruz-Platense: fútbol libre por celular ,"Godoy Cruz y Platense jugarán esta tarde, desde las 18.30 en el estadio Malvinas Argentinas de la ciudad de Mendoza, en un partido por la duodécima fecha de la Copa de la Liga Profesional de Fútbol.Probables formaciones Godoy Cruz y PlatenseGodoy Cruz (Mendoza): Diego Rodríguez; Lucas Arce, Pier Barrios, Federico Rasmussen, Thomas Galdames; Bruno Leyes, Nicolás Fernández; Tadeo Allende, Hernán López Muñoz, Tomás Conechny; Daniel Barrea. DT: Daniel Oldrá.Platense: Ramiro Macagno; Raúl Lozano, Ignacio Vázquez, Gastón Suso, Juan Infante; Leonel Picco, Franco Díaz, Nicolás Castro, Sasha Marcich; Ciro Rius y Ronaldo Martínez. DT: Martín Palermo.FÚTBOL LIBRE: cómo ver en vivo Godoy Cruz vs PlatenseLa televisación estará a cargo de ESPN Premium. Además, se podrá seguir desde cualquier dispositivo móvil a través de las aplicaciones Flow, Telecentro Play y DirecTV GO."
deportes,https://noticiasargentinas.com//deportes/como-ver-en-vivo-belgrano-vs-tigre-futbol-libre-por-celular, Cómo ver en vivo Belgrano-Tigre: fútbol libre por celular ,"Belgrano y Tigre jugarán esta noche, desde las 21.00 en Córdoba, en un partido correspondiente a la duodécima fecha de la Copa de la Liga Profesional.Probables formaciones de Belgrano y TigreBelgrano de Córdoba: Nahuel Losada; Juan Barinaga, Alejandro Rébola, Diego Novaretti, Alex Ibacache; Santiago Longo, Ulises Sánchez, Esteban Rolón, Matías Marín, Facundo Lencioni; Lucas Passerini. DT: Guillermo Farré.Tigre: Santiago Rojas; Martín Garay, Robert Rojas, Abel Luciatti, Sebastián Prieto; José Paradela, Agustín Cardozo, Lucas Menossi, Aaron Molinas; Ezequiel Forclaz y Renzo López. DT: Lucas Pusineri.FÚTBOL LIBRE: cómo ver en vivo Belgrano vs TigreLa televisación estará a cargo de TNT Sports. Además, se podrá seguir desde cualquier dispositivo móvil a través de las aplicaciones Flow, Telecentro Play y DirecTV GO."
